,Date,Door,Count
376,2017-07-02 13:30,DoorB,70
377,2017-07-02 13:30,DoorC,28
378,2017-07-02 13:30,DoorD,101
379,2017-07-02 13:30,DoorE,37
380,2017-07-02 14:00,DoorA,52
381,2017-07-02 14:00,DoorB,55
382,2017-07-02 14:00,DoorC,24
383,2017-07-02 14:00,DoorD,117
384,2017-07-02 14:00,DoorE,35
385,2017-07-02 14:30,DoorA,44
386,2017-07-02 14:30,DoorB,61
387,2017-07-02 14:30,DoorC,31
388,2017-07-02 14:30,DoorD,91
389,2017-07-02 14:30,DoorE,39
390,2017-07-02 15:00,DoorA,54
391,2017-07-02 15:00,DoorB,76
392,2017-07-02 15:00,DoorC,36
393,2017-07-02 15:00,DoorD,104
394,2017-07-02 15:00,DoorE,42
395,2017-07-02 15:30,DoorA,57
396,2017-07-02 15:30,DoorB,66
397,2017-07-02 15:30,DoorC,26
398,2017-07-02 15:30,DoorD,111
399,2017-07-02 15:30,DoorE,51
400,2017-07-02 16:00,DoorA,49
401,2017-07-02 16:00,DoorB,64
402,2017-07-02 16:00,DoorC,27
403,2017-07-02 16:00,DoorD,98
404,2017-07-02 16:00,DoorE,46
405,2017-07-02 16:30,DoorA,54
406,2017-07-02 16:30,DoorB,65
407,2017-07-02 16:30,DoorC,37
408,2017-07-02 16:30,DoorD,114
409,2017-07-02 16:30,DoorE,45
410,2017-07-02 17:00,DoorA,59
411,2017-07-02 17:00,DoorB,70
412,2017-07-02 17:00,DoorC,24
413,2017-07-02 17:00,DoorD,96
414,2017-07-02 17:00,DoorE,34
415,2017-07-02 17:30,DoorA,56
416,2017-07-02 17:30,DoorB,61
417,2017-07-02 17:30,DoorC,23
418,2017-07-02 17:30,DoorD,121
419,2017-07-02 17:30,DoorE,40
420,2017-07-02 18:00,DoorA,54
421,2017-07-02 18:00,DoorB,69
422,2017-07-02 18:00,DoorC,32
423,2017-07-02 18:00,DoorD,93
424,2017-07-02 18:00,DoorE,50
425,2017-07-02 18:30,DoorA,48
426,2017-07-02 18:30,DoorB,65
427,2017-07-02 18:30,DoorC,23
428,2017-07-02 18:30,DoorD,103
429,2017-07-02 18:30,DoorE,51
430,2017-07-02 19:00,DoorA,51
431,2017-07-02 19:00,DoorB,77
432,2017-07-02 19:00,DoorC,19
433,2017-07-02 19:00,DoorD,106
434,2017-07-02 19:00,DoorE,49
435,2017-07-02 19:30,DoorA,62
436,2017-07-02 19:30,DoorB,79
437,2017-07-02 19:30,DoorC,22
438,2017-07-02 19:30,DoorD,93
439,2017-07-02 19:30,DoorE,32
440,2017-07-02 20:00,DoorA,48
441,2017-07-02 20:00,DoorB,74
442,2017-07-02 20:00,DoorC,23
443,2017-07-02 20:00,DoorD,92
444,2017-07-02 20:00,DoorE,45
445,2017-07-02 20:30,DoorA,56
446,2017-07-02 20:30,DoorB,84
447,2017-07-02 20:30,DoorC,34
448,2017-07-02 20:30,DoorD,102
449,2017-07-02 20:30,DoorE,49
450,2017-07-02 21:00,DoorA,0
451,2017-07-02 21:00,DoorB,0
452,2017-07-02 21:00,DoorC,0
453,2017-07-02 21:00,DoorD,0
454,2017-07-02 21:00,DoorE,0
455,2017-07-02 21:30,DoorA,0
456,2017-07-02 21:30,DoorB,0
457,2017-07-02 21:30,DoorC,0
458,2017-07-02 21:30,DoorD,0
459,2017-07-02 21:30,DoorE,0
460,2017-07-02 22:00,DoorA,0
461,2017-07-02 22:00,DoorB,0
462,2017-07-02 22:00,DoorC,0
463,2017-07-02 22:00,DoorD,0
464,2017-07-02 22:00,DoorE,0
465,2017-07-02 22:30,DoorA,0
466,2017-07-02 22:30,DoorB,0
467,2017-07-02 22:30,DoorC,0
468,2017-07-02 22:30,DoorD,0
469,2017-07-02 22:30,DoorE,0
470,2017-07-02 23:00,DoorA,0
471,2017-07-02 23:00,DoorB,0
472,2017-07-02 23:00,DoorC,0
473,2017-07-02 23:00,DoorD,0
474,2017-07-02 23:00,DoorE,0
475,2017-07-02 23:30,DoorA,0
476,2017-07-02 23:30,DoorB,0
477,2017-07-02 23:30,DoorC,0
478,2017-07-02 23:30,DoorD,0
479,2017-07-02 23:30,DoorE,0
480,2017-07-03 00:00,DoorA,0
481,2017-07-03 00:00,DoorB,0
482,2017-07-03 00:00,DoorC,0
483,2017-07-03 00:00,DoorD,0
484,2017-07-03 00:00,DoorE,0
485,2017-07-03 00:30,DoorA,0
486,2017-07-03 00:30,DoorB,0
487,2017-07-03 00:30,DoorC,0
488,2017-07-03 00:30,DoorD,0
489,2017-07-03 00:30,DoorE,0
490,2017-07-03 01:00,DoorA,0
491,2017-07-03 01:00,DoorB,0
492,2017-07-03 01:00,DoorC,0
493,2017-07-03 01:00,DoorD,0
494,2017-07-03 01:00,DoorE,0
495,2017-07-03 01:30,DoorA,0
496,2017-07-03 01:30,DoorB,0
497,2017-07-03 01:30,DoorC,0
498,2017-07-03 01:30,DoorD,0
499,2017-07-03 01:30,DoorE,0
500,2017-07-03 02:00,DoorA,0
501,2017-07-03 02:00,DoorB,0
502,2017-07-03 02:00,DoorC,0
503,2017-07-03 02:00,DoorD,0
504,2017-07-03 02:00,DoorE,0
505,2017-07-03 02:30,DoorA,0
506,2017-07-03 02:30,DoorB,0
507,2017-07-03 02:30,DoorC,0
508,2017-07-03 02:30,DoorD,0
509,2017-07-03 02:30,DoorE,0
510,2017-07-03 03:00,DoorA,0
511,2017-07-03 03:00,DoorB,0
512,2017-07-03 03:00,DoorC,0
513,2017-07-03 03:00,DoorD,0
514,2017-07-03 03:00,DoorE,0
515,2017-07-03 03:30,DoorA,0
516,2017-07-03 03:30,DoorB,0
517,2017-07-03 03:30,DoorC,0
518,2017-07-03 03:30,DoorD,0
519,2017-07-03 03:30,DoorE,0
520,2017-07-03 04:00,DoorA,0
521,2017-07-03 04:00,DoorB,0
522,2017-07-03 04:00,DoorC,0
523,2017-07-03 04:00,DoorD,0
524,2017-07-03 04:00,DoorE,0
525,2017-07-03 04:30,DoorA,0
526,2017-07-03 04:30,DoorB,0
527,2017-07-03 04:30,DoorC,0
528,2017-07-03 04:30,DoorD,0
529,2017-07-03 04:30,DoorE,0
530,2017-07-03 05:00,DoorA,0
531,2017-07-03 05:00,DoorB,0
532,2017-07-03 05:00,DoorC,0
533,2017-07-03 05:00,DoorD,0
534,2017-07-03 05:00,DoorE,0
535,2017-07-03 05:30,DoorA,0
536,2017-07-03 05:30,DoorB,0
537,2017-07-03 05:30,DoorC,0
538,2017-07-03 05:30,DoorD,0
539,2017-07-03 05:30,DoorE,0
540,2017-07-03 06:00,DoorA,0
541,2017-07-03 06:00,DoorB,0
542,2017-07-03 06:00,DoorC,0
543,2017-07-03 06:00,DoorD,0
544,2017-07-03 06:00,DoorE,0
545,2017-07-03 06:30,DoorA,0
546,2017-07-03 06:30,DoorB,0
547,2017-07-03 06:30,DoorC,0
548,2017-07-03 06:30,DoorD,0
549,2017-07-03 06:30,DoorE,0
550,2017-07-03 07:00,DoorA,0
551,2017-07-03 07:00,DoorB,0
552,2017-07-03 07:00,DoorC,0
553,2017-07-03 07:00,DoorD,0
554,2017-07-03 07:00,DoorE,0
555,2017-07-03 07:30,DoorA,0
556,2017-07-03 07:30,DoorB,0
557,2017-07-03 07:30,DoorC,0
558,2017-07-03 07:30,DoorD,0
559,2017-07-03 07:30,DoorE,0
560,2017-07-03 08:00,DoorA,57
561,2017-07-03 08:00,DoorB,76
562,2017-07-03 08:00,DoorC,27
563,2017-07-03 08:00,DoorD,106
564,2017-07-03 08:00,DoorE,47
565,2017-07-03 08:30,DoorA,44
566,2017-07-03 08:30,DoorB,72
567,2017-07-03 08:30,DoorC,25
568,2017-07-03 08:30,DoorD,100
569,2017-07-03 08:30,DoorE,30
570,2017-07-03 09:00,DoorA,48
571,2017-07-03 09:00,DoorB,67
572,2017-07-03 09:00,DoorC,24
573,2017-07-03 09:00,DoorD,80
574,2017-07-03 09:00,DoorE,42
575,2017-07-03 09:30,DoorA,51
576,2017-07-03 09:30,DoorB,68
577,2017-07-03 09:30,DoorC,28
578,2017-07-03 09:30,DoorD,97
579,2017-07-03 09:30,DoorE,30
580,2017-07-03 10:00,DoorA,35
581,2017-07-03 10:00,DoorB,76
582,2017-07-03 10:00,DoorC,31
583,2017-07-03 10:00,DoorD,94
584,2017-07-03 10:00,DoorE,46
585,2017-07-03 10:30,DoorA,51
586,2017-07-03 10:30,DoorB,72
587,2017-07-03 10:30,DoorC,36
588,2017-07-03 10:30,DoorD,97
